index,name,price,number_of_comment,pin,brand,front_cam,rear_cam,weight,RAM,screen_size,comment
0,iPad 10.2 Inch WiFi 32GB (Gen 8) New 2020 - Hàng Chính Hãng ,8490000,183,,Apple,8MP,,495g,,250mm x 174mm X 7.5mm 10.2 inch,Mình đặt lúc 17h30 chiều và 20h tối nhận máy mình ở nội thành Hà Nội bác shiper bảo hàng đắt tiền bác ưu tiên ship trước để mai đi ship cái khác  mình thấy các bạn chê Tiki gói hàng không bọc chống sốc mà nhét giấy vào nhìn xấu nhưng với kinh nghiệm cũng bán hàng online và đã từng gửi hơn 20000 đơn hàng thì mình đánh giá khả năng chống sốc của những miếng giấy vò viên đó khá tốt vì nó cứng thậm chí còn tốt hơn bọc nilon xốp nổ hơn nữa nó không gây hại cho môi trường mình ủng hộ điều này Còn về máy iPad thì không có điểm gì để chê cả y như quảng cáo 
0,iPad 10.2 Inch WiFi 32GB (Gen 8) New 2020 - Hàng Chính Hãng ,8490000,183,,Apple,8MP,,495g,,250mm x 174mm X 7.5mm 10.2 inch,Mua cho người già sử dụng nên con này là đủ với nhu cầu Hàng mới 100 chính hãng mới ra mắt nên không có gì phải lăn tăn So về mức giá gốc ra mắt bên Mỹ thì khoảng 360 USD quy đổi tỉ giá sang VND 23k  8tr2 gần như là không chênh quá nhiều so với giá bán tại đây
0,iPad 10.2 Inch WiFi 32GB (Gen 8) New 2020 - Hàng Chính Hãng ,8490000,183,,Apple,8MP,,495g,,250mm x 174mm X 7.5mm 10.2 inch,Hàng chính hãng nguyên seal chưa active giao nhanh nhưng đoạn bọc gói chán dã man hàng đắt nhưng tiki k chèn nổi bọc nilon xung quanh mà vo viên cái vỏ giấy xi măng xung quanh hộp Tiki phải xem lại cách bọc gói sp điện tử đi ạ 
0,iPad 10.2 Inch WiFi 32GB (Gen 8) New 2020 - Hàng Chính Hãng ,8490000,183,,Apple,8MP,,495g,,250mm x 174mm X 7.5mm 10.2 inch,Hàng chính hãng nguyên seal chưa kích hoạt mã ZAA có tem ICT của Apple VN nên được bảo hành ở store Apple chính hãng mọi thứ đều ok giá mình mua là 8tr5 giảm thêm 15 của tikicard là còn có 7tr9 thôi
0,iPad 10.2 Inch WiFi 32GB (Gen 8) New 2020 - Hàng Chính Hãng ,8490000,183,,Apple,8MP,,495g,,250mm x 174mm X 7.5mm 10.2 inch,Mình cho 3 sao là bởi vì 1 Sản phẩm giá trị cao nhưng trong hộp không có chèn lót gì cả  2 Giao hàng sai hẹn 2 lần  vì đầu tiên t đặt hàng thứ  4nhắn giao trong vòng 2h nhưng mãi thứ 6 mới giao 
0,iPad 10.2 Inch WiFi 32GB (Gen 8) New 2020 - Hàng Chính Hãng ,8490000,183,,Apple,8MP,,495g,,250mm x 174mm X 7.5mm 10.2 inch,Giao hàng rất nhanhhàng rất ok đúng như giới thiệuchưa bjk chính sách bảo hành ntn thôihy vọng là sẽ ko phải bảo hànhsẽ tiếp tục ủng hộ tiki
0,iPad 10.2 Inch WiFi 32GB (Gen 8) New 2020 - Hàng Chính Hãng ,8490000,183,,Apple,8MP,,495g,,250mm x 174mm X 7.5mm 10.2 inch,Hàng nguyên seal không có gì phải bàn Chỉ có tí lăn tăn chỗ bảo hành tại Việt Nam vì thấy máy từ singapore Tiki giao không đúng thời hạn có thông báo trước bằng tin nhắn
0,iPad 10.2 Inch WiFi 32GB (Gen 8) New 2020 - Hàng Chính Hãng ,8490000,183,,Apple,8MP,,495g,,250mm x 174mm X 7.5mm 10.2 inch,Hàng mới tinh nguyên saie chưa active giao hàng nhanh trong vài tiếng Cộng thêm khuyến mãi ngày Tết độc thân 1111 nên giảm được rất nhiều so với giá gốc Cám ơn Tiki
0,iPad 10.2 Inch WiFi 32GB (Gen 8) New 2020 - Hàng Chính Hãng ,8490000,183,,Apple,8MP,,495g,,250mm x 174mm X 7.5mm 10.2 inch,Đã xài được nửa tháng mã ZAA quá ổn trong tầm giá nhưng hơi to với các bạn tay bé cấu hình khỏi chê rồi chưa thấy lỗi gì ngại bảo hành online lắm thế nhé
0,iPad 10.2 Inch WiFi 32GB (Gen 8) New 2020 - Hàng Chính Hãng ,8490000,183,,Apple,8MP,,495g,,250mm x 174mm X 7.5mm 10.2 inch,Tiki ơi cái Ipad của mình mua bữa giờ gần như không xài gì hết nay mở lên thấy có cái sọc giữa màn hình thế này giờ xử lý thế nào đây 
