index,name,brand,price,number_of_comment,pin(mAh),weight(g),screen_size(inch),Negative,Positive,rank_point
45,Điện Thoại Di Động Forme Gorilla - Hàng Chính Hãng ,Forme,299000,4,1200,172.6,2.022,0.122252811,0.877747189,3.510988756
47,Điện thoại di động GSM Maxx N6610 màn hình 2.4 inch - Hàng Nhập Khẩu ,MAXX,199000,14,1200,136.4,1.896,0.360554182,0.639445818,8.952241452
48,Điện Thoại Mobell C206 - Hàng Chính Hãng ,Mobell,179000,14,1200,136.4,1.896,0.260305762,0.739694238,10.35571933
49,Điện Thoại Masstel iZi 100 - Hàng Chính Hãng ,Masstel,199000,51,1200,125,1.77,0.195632299,0.804367701,41.02275275
50,Điện thoại Masstel IZI 200 - Hàng Chính Hãng ,Masstel,210000,2,1200,89,2.4,0.331499985,0.668500015,1.33700003
51,Điện Thoại Suntek Nomu U1 - Hàng Chính Hãng ,Suntek,999000,2,1214,138,2,0.627270902,0.372729098,0.745458196
52,Điện thoại Forme A1  siêu nhỏ gọn  đèn led 7 màu theo nhạc - Hàng chính hãng ,Forme,325000,2,1311,144.2,2.028,0.126588533,0.873411467,1.746822934
54,Điện Thoại Suntek Vicool V5 Bold 2 Sim - Hàng Chính Hãng ,Suntek,399000,2,1440.2,150,2.4,0.265693448,0.734306552,1.468613104
55,Điện Thoại Masstel Fami 9 - Hàng Chính Hãng - Xanh ,Masstel,319000,3,1450,144.2,2.028,0.247561949,0.752438051,2.257314153
56,Điện thoại di động GSM Vtel C2 - Hàng chính hãng ,Vtel,195000,10,1500,136.4,1.896,0.145104206,0.854895794,8.54895794
57,Điện thoại di động GSM Vtel A1 - Hàng chính hãng ,Vtel,159000,17,1500,136.4,1.896,0.38334807,0.61665193,10.48308281
59,Điện thoại di động GSM Vtel C1 - Hàng chính hãng ,Vtel,179000,8,1500,136.4,1.896,0.132756213,0.867243787,6.937950296
60,Điện thoại Masstel Fami 12 - Hàng Chính Hãng ,Masstel,330000,2,1500,125,1.77,0.273950298,0.726049702,1.452099404
61,Điện Thoại Masstel Fami S2 - Hàng Chính Hãng ,Masstel,436000,5,1500,140,2,0.200983516,0.799016484,3.99508242
62,Điện Thoại Di Động Forme Gorilla Coffee - Hàng Chính Hãng ,Forme,299000,3,1500,172.6,2.022,0.111083832,0.888916168,2.666748504
64,Điện Thoại Di Động Forme D555+ - Hàng Chính Hãng ,Forme,290000,3,1560.2,172.6,2.148,0.088520827,0.911479173,2.734437519
65,Điện Thoại Masstel Izi 120 - Hàng Chính Hãng ,Masstel,219999,16,1560.2,114,1.77,0.3040773,0.6959227,11.1347632
66,Điện thoại Forme M5  màn hình 1.8inch  loa nhạc lớn  font chữ lớn - Hàng chính hãng ,Forme,275000,1,1610,200,2.148,0.150490191,0.849509809,0.849509809
67,Điện Thoại Masstel Lux Mini - Hàng Chính Hãng ,Masstel,359000,4,1690,61,1.5,0.133290761,0.866709239,3.466836956
68,Điện thoại Forme U30  màn hình 1.8inch  pin 1500mAh - Hàng chính hãng ,Forme,210000,3,1700,200,1.896,0.082077404,0.917922596,2.753767788
69,Điện Thoại Di Động Forme F1 - Hàng Chính Hãng ,Forme,275000,4,1700,172.6,2.148,0.220880247,0.779119753,3.116479012
70,Điện thoại di động GSM Vtel V1 - Hàng chính hãng ,Vtel,229000,1,1780.2,136.4,1.896,0.31902003,0.68097997,0.68097997
71,Điện Thoại Di Động Forme Gorilla Green - Hàng Chính Hãng ,Forme,299000,2,1790,172.6,2.022,0.091785269,0.908214731,1.816429462
72,Điện Thoại Mobell M217 - Hàng Chính Hãng ,Mobell,189000,8,1790,136.4,1.896,0.255247772,0.744752228,5.958017824
73,Điện Thoại M-Power M81 - Hàng Chính Hãng ,Suntek,259000,4,1800,129,2.022,0.361604819,0.638395181,2.553580724
74,Điện Thoại Di Động Forme A5 - Hãng phân phối chính hãng ,Forme,335000,1,1800,106.4,2.028,0.152760475,0.847239525,0.847239525
75,Điện Thoại M-Power A18Mini - Hàng Chính Hãng ,M-Power,279000,10,1800,88,1.77,0.249704915,0.750295085,7.50295085
76,Điện Thoại THTphone A1 ,THT,279000,5,1810,172.6,2.148,0.469982747,0.530017253,2.650086265
77,Điện thoại Forme D10  MÀN HÌNH 2.0inch  CHỨC NĂNG GỌI KHẨN CẤP SOS  LOA TO  FONT CHỮ LỚN  PHÍM SỐ LỚN  FM KHÔNG DÂY - Hàng chính hãng ,Forme,335000,1,1900,106.4,2.028,0.150490191,0.849509809,0.849509809
78,Điện Thoại Di Động Forme L6 - Hàng Chính Hãng ,Forme,345000,3,2180,116.4,1.848,0.127453978,0.872546022,2.617638066
79,Điện thoại Forme M3  màn hình 2.4inch  pin 2700mAh - Hàng chính hãng ,Forme,320000,4,2400,200,2.022,0.13206874,0.86793126,3.47172504
80,Điện thoại di động COGO C39- Hàng Chính Hãng ,COGO,250000,2,2400,129,2.022,0.208011242,0.791988758,1.583977516
81,Điện thoại THTphone A11 ,THT,299000,4,2400,172.6,2.022,0.121308077,0.878691923,3.514767692
84,Điện Thoại Suntek X9 - Hàng Chính Hãng ,Suntek,599000,7,2400,180,1.8,0.330522666,0.669477334,4.686341338
86,Điện Thoại Masstel Izi 109 - Hàng Chính Hãng ,Masstel,219000,9,2500,114,1.77,0.313165637,0.686834363,6.181509267
87,Điện Thoại M-Power M22 - Hàng Chính Hãng ,M-Power,209000,3,2500,68,1.77,0.104213742,0.895786258,2.687358774
88,Điện Thoại Masstel Fami 12 - Hàng Chính Hãng ,Masstel,499000,4,2700,125,1.77,0.173188251,0.826811749,3.307246996
89,Điện Thoại M-Power M16 - Hàng Chính Hãng ,Suntek,199000,1,2700,136.4,1.896,0.359862126,0.640137874,0.640137874
90,Điện Thoại Suntek X68 - Hàng Chính Hãng ,Suntek,419000,7,1900,139,2.4,0.334262194,0.665737806,4.660164642
91,Điện Thoại Mobile Uiphone U2 (Đen) - Hàng Chính Hãng ,Suntek,399000,1,1800,135,2.4,0.357126287,0.642873713,0.642873713
92,Điện thoại Masstel Fami 1 - Hàng Chính Hãng ,Masstel,319000,1,1700,144.2,2.028,0.041030476,0.958969524,0.958969524
95,Điện Thoại Bavapen B52 - Hàng Chính Hãng ,Bavapen,430000,8,1500,110,2.8,0.320138582,0.679861418,5.438891344
96,Điện Thoại Di Động Forme L6 - Hàng Chính Hãng ,Forme,345000,8,1500,116.4,1.848,0.23037716,0.76962284,6.15698272
97,Điện thoại Masstel Fami 12 - Hàng Chính Hãng ,Masstel,389000,1,1800,147,2.22,0.796350476,0.203649524,0.203649524
101,Điện thoại Forme L03  màn hình 2.4inch  pin 3500mAh  loa nhạc to  font chữ lớn - Hàng chính hãng ,Forme,360000,1,1500,250,1.848,0.635401277,0.364598723,0.364598723
102,Điện Thoại Di Động GSM Zono N105 - Hàng Nhập Khẩu ,Zono,349000,13,1600,116.4,1.8,0.356710444,0.643289556,8.362764228
